Coach_ID,Full_Name,First,Last,Nationality
3,Brian Crookham,Brian,Crookham,USA
5,Brian Clarhaut,Brian,Clarhaut,USA
6,Blair Gavin,Blair,Gavin,USA
7,Tab Ramos,Tab,Ramos,USA
11,Danny Cruz,Danny,Cruz,USA
15,Eric Quill,Eric,Quill,USA
16,John Bradford,John,Bradford,USA
20,Bob Lilley,Bob,Lilley,USA
1,Khano Smith,Khano,Smith,Bermuda
10,Marcelo Sarvas,Marcelo,Sarvas,Brazil
14,Frank Yallop,Frank,Yallop,Canada
23,Alen Marcina,Alen,Marcina,Canada
4,Danny Dichio,Danny,Dichio,England
8,Mark Lowry,Mark,Lowry,England
9,Sam Devine,Sam,Devine,England
13,Anthony Pulis,Anthony,Pulis,England
18,Richard Chaplow,Richard,Chaplow,England
22,Mark Briggs,Mark,Briggs,England
17,Noah Delgado,Noah,Delgado,Puerto Rico
12,Stephen Glass,Stephen,Glass,Scotland
24,Nicky Law,Nicky,Law,Scotland
2,Ben Pirmann,Ben,Pirmann,USA
19,Juan Guerra,Juan,Guerra,Venezuela
