Team ID,Full Name,Is_Active,Nick Name,Home City,Home State,Venue,Capacity,IS Soccer Specific,Team Color 1,Team Color 2,Team Color 3,Key Sponsors,Conference,,,,,,,,,,,
17,Birmingham Legion FC,TRUE,The Legion,Birmingham,Alabama,Protective Stadium,"47,000",TRUE,Black,Red,Gold,"UAB Medicine, Red Diamond",East,,,,,,,,,,,
3,Charleston Battery,TRUE,The Battery,Charleston,South Carolina,Patriots Point Soccer Complex,"5,000",TRUE,Yellow,Black,-,MUSC Health,East,,,,,,,,,,,
4,Colorado Springs Switchbacks FC,TRUE,The Switchbacks,Colorado Springs,Colorado,Weidner Field,"8,000",TRUE,Black,Blue,White,Weidner Apartment Homes,WEST,,,,,,,,,,,
5,Detroit City FC,TRUE,Le Rouge,Detroit,Michigan,Keyworth Stadium,"7,933",TRUE,Red,Gold,-,Ally Bank,East,,,,,,,,,,,
24,El Paso Locomotive FC,TRUE,Locos,El Paso,Texas,Southwest University Park,"9,500",FALSE,Blue,Yellow,White,Southwest University,WEST,,,,,,,,,,,
20,FC Tulsa,TRUE,-,Tulsa,Oklahoma,ONEOK Field,"7,833",FALSE,Black,Gold,White,Bank of Oklahoma,WEST,,,,,,,,,,,
19,Hartford Athletic,TRUE,The Athletic,Hartford,Connecticut,Trinity Health Stadium,"5,500",FALSE,Green,Blue,White,"Trinity Health, Cigna",East,,,,,,,,,,,
7,Indy Eleven,TRUE,The Eleven,Indianapolis,Indiana,IU Michael A. Carroll Track & Soccer Stadium,"10,524",FALSE,Navy,Red,White,Honda,East,,,,,,,,,,,
8,Las Vegas Lights FC,TRUE,The Lights,Las Vegas,Nevada,Cashman Field,"9,334",TRUE,Blue,Yellow,Pink,Zappos,WEST,,,,,,,,,,,
21,Loudoun United FC,TRUE,-,Leesburg,Virginia,Segra Field,"5,000",TRUE,Red,Black,White,Loudoun Economic Development,East,,,,,,,,,,,
1,Louisville City FC,TRUE,LouCity,Louisville,Kentucky,Lynn Family Stadium,"15,304",TRUE,Purple,Gold,-,GE Appliances,East,,,,,,,,,,,
6,Memphis 901 FC,TRUE,-,Memphis,Tennessee,AutoZone Park,"10,000",FALSE,Navy,White,Light Blue,AutoZone,WEST,,,,,,,,,,,
23,Miami FC,TRUE,-,Miami,Florida,Riccardo Silva Stadium,"25,000",FALSE,Blue,Orange,White,unknown,East,,,,,,,,,,,
22,Monterey Bay FC,TRUE,The Crisp,Monterey,California,Cardinale Stadium,"6,000",TRUE,Blue,Black,White,Cardinale Moving & Storage,WEST,,,,,,,,,,,
2,New Mexico United,TRUE,United,Albuquerque,New Mexico,Rio Grande Credit Union Field at Isotopes Park,"13,500",FALSE,Yellow,Black,-,Meow Wolf,WEST,,,,,,,,,,,
13,North Carolina FC,TRUE,NCFC,Cary,North Carolina,Sahlen's Stadium at WakeMed Soccer Park,"10,000",TRUE,Navy,Red,White,Centene,East,,,,,,,,,,,
14,Oakland Roots SC,TRUE,Roots,Oakland,California,Pioneer Stadium,"5,000",FALSE,Black,White,Gray,Anthem,WEST,,,,,,,,,,,
12,Orange County SC,TRUE,-,Irvine,California,Championship Soccer Stadium,"5,000",TRUE,Orange,Black,White,Hyundai,WEST,,,,,,,,,,,
16,Phoenix Rising FC,TRUE,Rising,Phoenix,Arizona,Phoenix Rising Soccer Stadium,"10,000",TRUE,Red,Black,Gold,Carvana,WEST,,,,,,,,,,,
15,Pittsburgh Riverhounds SC,TRUE,The Hounds,Pittsburgh,Pennsylvania,Highmark Stadium,"5,000",TRUE,Yellow,Black,White,Allegheny Health Network,East,,,,,,,,,,,
9,Rhode Island FC,TRUE,-,Pawtucket,Rhode Island,Beirne Stadium,"5,252",FALSE,Black,Blue,White,Citizens Bank,East,,,,,,,,,,,
10,Sacramento Republic FC,TRUE,Republic FC,Sacramento,California,Heart Health Park,"11,569",TRUE,Red,White,Black,Western Health Advantage,WEST,,,,,,,,,,,
18,San Antonio FC,TRUE,-,San Antonio,Texas,Toyota Field,"8,296",TRUE,Black,Red,White,Toyota,WEST,,,,,,,,,,,
11,Tampa Bay Rowdies,TRUE,The Rowdies,St. Petersburg,Florida,Al Lang Stadium,"7,227",FALSE,Green,Yellow,White,"Publix, Rowdies Soccer Fund",East,,,,,,,,,,,
